url,bodyChars,h2Count,paragraphCount,label
/수영구비영리법인설립,630,1,1,NEEDS_LAYOUT_IMPROVEMENT
/부산진구비영리법인설립,621,1,1,NEEDS_LAYOUT_IMPROVEMENT
/부산문화예술단체법인설립,638,1,1,NEEDS_LAYOUT_IMPROVEMENT
/부산체육단체법인설립,593,1,1,NEEDS_LAYOUT_IMPROVEMENT
/경남사단법인설립,611,1,1,NEEDS_LAYOUT_IMPROVEMENT
/경남재단법인설립,559,1,1,NEEDS_LAYOUT_IMPROVEMENT
/창원비영리법인설립,592,1,1,NEEDS_LAYOUT_IMPROVEMENT
/사회적기업과법인설립차이,621,1,1,NEEDS_LAYOUT_IMPROVEMENT
/재단법인과공익법인차이,609,1,1,NEEDS_LAYOUT_IMPROVEMENT
/재건축조합임원변경등기,639,1,1,NEEDS_LAYOUT_IMPROVEMENT
/사단법인과재단법인차이,788,1,1,NEEDS_LAYOUT_IMPROVEMENT
/비영리민간단체와사단법인차이,766,1,1,NEEDS_LAYOUT_IMPROVEMENT
/농업회사법인과영농조합법인차이,598,1,1,NEEDS_LAYOUT_IMPROVEMENT
/사회적협동조합과사단법인차이,603,1,1,NEEDS_LAYOUT_IMPROVEMENT
/협동조합과주식회사차이,586,1,1,NEEDS_LAYOUT_IMPROVEMENT
/사회적기업과사회적협동조합차이,623,1,1,NEEDS_LAYOUT_IMPROVEMENT
/사단법인과협동조합차이,566,1,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/busan-personal-rehabilitation-consultation,767,2,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/centum-ownership-transfer-case,792,2,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/dongnae-qualified-acceptance-consultation,789,2,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/gijang-land-inheritance-case,742,2,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/haeundae-inheritance-registration-case,774,2,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/jaesong-inheritance-renunciation-consultation,778,2,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/suyeong-company-establishment-case,779,2,1,NEEDS_LAYOUT_IMPROVEMENT
/services/cases/yeonje-director-change-case,776,2,1,NEEDS_LAYOUT_IMPROVEMENT
/업무사례,787,2,1,NEEDS_LAYOUT_IMPROVEMENT
/업무사례/업무별,719,2,1,NEEDS_LAYOUT_IMPROVEMENT
/glossary,551,1,1,NEEDS_LAYOUT_IMPROVEMENT
