keyword,expected_owner,rank,url,score,pass
부산 본점이전등기,/부산본점이전등기,1,/부산본점이전등기,128,PASS
부산 목적변경등기,/부산사업목적변경등기,1,/거제동법무사,24,MISS
부산 증자등기,/부산유상증자등기,1,/부산무상증자등기,28,MISS
부산 감자등기,/부산법인등기,1,/부산감자등기,198,MISS
부산 지점설치등기,/부산법인등기,1,/부산지점설치등기,198,MISS
부산 해산등기,/부산법인해산청산등기,1,/거제동법무사,24,MISS
부산 청산등기,/부산법인해산청산등기,1,/거제동법무사,24,MISS
부산 개인회생 법무사,/부산개인회생법무사,1,/부산개인회생법무사,218,PASS
부산 개인회생,/부산개인회생,1,/부산개인회생,214,PASS
부산 회생 법무사,/부산개인회생법무사,1,/부산회생법무사,226,MISS
부산 회생파산 법무사,/개인회생파산,1,/부산법무사,48,MISS
부산 개인파산 법무사,/부산개인파산법무사,1,/부산개인파산법무사,226,PASS
부산 개인파산,/부산개인파산,1,/부산개인파산,206,PASS
부산 파산면책 법무사,/부산개인파산,1,/부산법무사,48,MISS
부산 개인회생 비용,/개인회생비용,1,/부산개인회생,64,MISS
부산 개인파산 비용,/개인파산비용,1,/부산개인파산,56,MISS
부산 지급명령 법무사,/부산지방법원지급명령,1,/거제동법무사,48,MISS
부산 내용증명 법무사,/내용증명작성준비,1,/부산법무사,48,MISS
부산 미수금 법무사,/민사소송,1,/부산법무사,48,MISS
부산 가압류 법무사,/부산가압류말소등기,1,/부산법무사,48,MISS
부산 가압류 말소 법무사,/부산가압류말소등기,1,/부산가압류말소등기,60,PASS
부산 개명 법무사,/부산개명허가,1,/부산법무사,48,MISS
부산 선박등기 법무사,/부산선박등기,1,/부산선박등기,72,PASS
부산 선박 법무사,/부산선박등기,1,/부산선박등기,60,PASS
부산 촉탁등기 법무사,/부산부동산등기,1,/부산법무사,48,MISS
부산 신탁등기 법무사,/부산부동산등기,1,/부산신탁등기,52,MISS
